SQ_CANDIDATO,AA_ELEICAO,cd_cargo,total_receita,total_despesa,saldo_campanha,n_fontes_receita,n_origens_despesa,despesa_adesivos,despesa_impressos,despesa_pessoal,despesa_tv,despesa_radio,razao_despesa_receita,pct_despesa_marketing,is_prefeito,is_vereador,competitividade,qt_candidato,qt_vagas,qt_eleitores,eleitores_por_candidato,municipio_encoded,prefeito_despesa_adesivos,competitividade_marketing,investimento_por_eleitor,investimento_por_idhm,foco_municipios_desenvolvidos,foco_municipios_carentes,foco_urbano,foco_rural,foco_alta_densidade,foco_baixa_escolaridade,infraestrutura_desenvolvida,municipio_rico,eleito,apoio_politico,aquisicoes_bens,comunicacao_correspondencia,diversos,gestao_administrativa,infraestrutura_basica,materiais_graficos_sonoros,midia_propaganda,mobilizacao_humana,pesquisa_eleitoral,idhm,pib_per_capita,habitantes,total_receitas_brutas_ibge,NR_PARTIDO,QT_VOTOS_NOMINAIS_VALIDOS,eleitores,vagas
220000881784,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000881786,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000881777,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000881781,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000881783,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000881782,0.0,0.0,2333.4700000000003,2333.4700000000003,0.0,2.0,5.0,0.0,740.0,0.0,0.0,0.0,1.0,31.712428272058347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,479.36,0.0,14.0,0.0,740.0,100.11,1000.0,0.0,0,0,0,0,0,0,10000,10
220000881778,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000881787,0.0,0.0,8464.3,3864.3,4599.999999999999,1.0,3.0,444.5,420.0,0.0,0.0,200.0,0.4565410016185627,27.54703309784437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1464.3,200.0,2200.0,0.0,0,0,0,0,0,0,10000,10
220000881785,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000849066,2020.0,13.0,4079.8,1820.0,2259.8,1.0,2.0,0.0,320.0,0.0,0.0,0.0,0.4461002990342663,17.582417582417584,0.0,1.0,16.692307692307693,217.0,13.0,61182.0,281.9447004608295,51,0.0,293.4911242603551,0.0297473113007093,1330.42,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,1500.0,0.0,0,0,0,0,0,0,10000,10
